	V	I
	kv	A
5.72	2.96	-0.056
5.76	3.04	-0.06
5.8	3.04	-0.0608
5.84	3.12	-0.0616
5.88	3.2	-0.0576
5.92	3.12	-0.0528
5.96	3.28	-0.0472
6	3.28	-0.0448
6.04	3.2	-0.0544
6.08	3.28	-0.052
6.12	3.36	-0.0552
6.16	3.28	-0.0432
6.2	3.36	-0.0368
6.24	3.44	-0.0432
6.28	3.36	-0.0456
6.32	3.44	-0.0408
6.36	3.52	-0.0384
6.4	3.6	-0.0336
6.44	3.68	-0.0352
6.48	3.6	-0.0376
6.52	3.52	-0.0376
6.56	3.68	-0.0336
6.6	3.68	-0.0304
6.64	3.76	-0.0272
6.68	3.68	-0.024
6.72	3.76	-0.024
6.76	3.68	-0.0264
6.8	3.76	-0.0264
6.84	3.84	-0.0224
6.88	3.76	-0.0168
6.92	3.76	-0.0144
6.96	3.68	-0.0136
7	3.84	-0.016
7.04	3.68	-0.012
7.08	3.76	-0.0088
7.12	3.68	-0.0072
7.16	3.76	-0.0064
7.2	3.76	-0.0064
7.24	3.84	-0.0048
7.28	3.76	-0.0024
7.32	3.76	8E-4
7.36	3.68	0.0032
7.4	3.68	0.004
7.44	3.76	0.0048
7.48	3.76	0.0064
7.52	3.6	0.0072
7.56	3.6	0.0096
7.6	3.68	0.0104
7.64	3.6	0.0128
7.68	3.6	0.0128
7.72	3.68	0.0144
7.76	3.6	0.016
7.8	3.52	0.0184
7.84	3.44	0.0184
7.88	3.44	0.02
7.92	3.36	0.0208
7.96	3.44	0.0208
8	3.44	0.024
8.04	3.36	0.0248
8.08	3.36	0.0272
8.12	3.28	0.0264
8.16	3.2	0.0272
8.2	3.12	0.0288
8.24	3.12	0.0296
8.28	3.04	0.0312
8.32	2.96	0.0312
8.36	2.88	0.032
8.4	2.88	0.0312
8.44	2.88	0.032
8.48	2.8	0.0328
8.52	2.88	0.0336
8.56	2.64	0.0344
8.6	2.56	0.0344
8.64	2.56	0.0352
8.68	2.56	0.0344
8.72	2.48	0.0344
8.76	2.4	0.0352
8.8	2.32	0.0344
8.84	2.32	0.0352
8.88	2.24	0.0344
8.92	2.16	0.0344
8.96	2.16	0.0344
9	2.08	0.0336
9.04	2.08	0.0344
9.08	2	0.0336
9.12	2	0.0344
9.16	2	0.0328
9.2	1.84	0.032
9.24	1.84	0.032
9.28	1.84	0.0304
9.32	1.68	0.0312
9.36	1.68	0.0296
9.4	1.6	0.0296
9.44	1.6	0.028
9.48	1.52	0.0272
9.52	1.52	0.0256
9.56	1.44	0.0256
9.6	1.36	0.0248
9.64	1.36	0.0232
9.68	1.36	0.0216
9.72	1.28	0.0216
9.76	1.36	0.0208
9.8	1.2	0.0192
9.84	1.28	0.0168
9.88	1.28	0.0168
9.92	1.2	0.0136
9.96	1.2	0.0144
10	1.12	0.0128
10.04	1.2	0.0112
10.08	1.12	0.0096
10.12	1.12	0.0088
10.16	1.04	0.0088
10.2	1.04	0.0072
10.24	0.96	0.0056
10.28	0.96	0.0072
10.32	0.96	0.008
10.36	1.12	0.0104
10.4	1.04	0.012
10.44	0.88	0.0128
10.48	0.96	0.0128
10.52	0.88	0.012
10.56	0.88	0.012
10.6	0.88	0.0104
10.64	0.8	0.0104
10.68	0.88	0.0088
10.72	0.8	0.0112
10.76	0.8	0.0112
10.8	0.8	0.012
10.84	0.8	0.0136
10.88	0.8	0.0128
10.92	0.8	0.0136
10.96	0.64	0.0128
11	0.64	0.0128
11.04	0.64	0.0112
11.08	0.64	0.0104
11.12	0.72	0.012
11.16	0.64	0.0128
11.2	0.64	0.0144
11.24	0.48	0.0144
11.28	0.56	0.0136
11.32	0.56	0.0136
11.36	0.48	0.0128
11.4	0.56	0.0136
11.44	0.48	0.0144
11.48	0.4	0.0144
11.52	0.4	0.0144
11.56	0.48	0.0136
11.6	0.32	0.0136
11.64	0.4	0.0144
11.68	0.4	0.0152
11.72	0.4	0.0136
11.76	0.32	0.0152
11.8	0.24	0.0136
11.84	0.24	0.0144
11.88	0.32	0.0152
11.92	0.16	0.0144
11.96	0.16	0.016
12	0.16	0.0152
12.04	0.24	0.0152
12.08	0.08	0.0136
12.12	0.08	0.0152
12.16	0.08	0.0152
12.2	0.08	0.0152
12.24	0.08	0.0144
12.28	0	0.0144
12.32	-0.08	0.0144
12.36	0	0.016
12.4	-0.16	0.016
12.44	-0.08	0.0128
12.48	-0.08	0.0128
12.52	-0.16	0.0128
12.56	-0.16	0.0152
12.6	-0.24	0.016
12.64	-0.24	0.0152
12.68	-0.24	0.0136
12.72	-0.24	0.0128
12.76	-0.32	0.0136
12.8	-0.24	0.0168
12.84	-0.24	0.0168
12.88	-0.4	0.0152
12.92	-0.4	0.0136
12.96	-0.32	0.012
13	-0.32	0.0144
13.04	-0.32	0.016
13.08	-0.4	0.0184
13.12	-0.4	0.0112
13.16	-0.32	0.0096
13.2	-0.4	0.012
13.24	-0.4	0.0152
13.28	-0.48	0.0168
13.32	-0.48	0.0152
13.36	-0.4	0.0128
13.4	-0.32	0.012
13.44	-0.4	0.012
13.48	-0.56	0.0128
13.52	-0.48	0.0112
13.56	-0.48	0.0128
13.6	-0.56	0.0136
13.64	-0.56	0.0128
13.68	-0.48	0.012
