	V	I
	kv	A
56.12	-0.64	0.0064
56.16	-0.56	0.0056
56.2	-0.56	0.0048
56.24	-0.48	0.0048
56.28	-0.48	0.0048
56.32	-0.56	0.004
56.36	-0.56	0.0048
56.4	-0.64	0.004
56.44	-0.56	0.0048
56.48	-0.64	0.0048
56.52	-0.56	0.0032
56.56	-0.64	0.0048
56.6	-0.64	0.0032
56.64	-0.48	0.0048
56.68	-0.72	0.0032
56.72	-0.72	0.0024
56.76	-0.64	0.0032
56.8	-0.8	0.0024
56.84	-0.64	0.004
56.88	-0.64	0.0032
56.92	-0.64	0.0016
56.96	-0.64	0.0024
57	-0.64	0.0016
57.04	-0.64	8E-4
57.08	-0.72	0.0024
57.12	-0.72	0.0024
57.16	-0.64	0.0016
57.2	-0.72	0.0016
57.24	-0.72	0
57.28	-0.72	0.0016
57.32	-0.72	0
57.36	-0.8	8E-4
57.4	-0.72	8E-4
57.44	-0.72	0
57.48	-0.64	0
57.52	-0.88	-8E-4
57.56	-0.72	-8E-4
57.6	-0.72	-8E-4
57.64	-0.72	-0.0016
57.68	-0.72	0
57.72	-0.72	-0.0016
57.76	-0.72	-0.0016
57.8	-0.64	-8E-4
57.84	-0.72	-0.0024
57.88	-0.72	-0.0016
57.92	-0.72	-8E-4
57.96	-0.72	-0.0016
58	-0.64	-0.0032
58.04	-0.72	-0.0024
58.08	-0.72	-0.0024
58.12	-0.72	-0.0032
58.16	-0.72	-0.0024
58.2	-0.72	-0.0032
58.24	-0.64	-0.0024
58.28	-0.64	-0.0032
58.32	-0.56	-0.0032
58.36	-0.64	-0.004
58.4	-0.72	-0.004
58.44	-0.64	-0.0032
58.48	-0.64	-0.004
58.52	-0.72	-0.004
58.56	-0.64	-0.0048
58.6	-0.72	-0.0048
58.64	-0.56	-0.0048
58.68	-0.56	-0.0048
58.72	-0.64	-0.004
58.76	-0.64	-0.0056
58.8	-0.64	-0.0048
58.84	-0.56	-0.0056
58.88	-0.64	-0.0056
58.92	-0.56	-0.0064
58.96	-0.56	-0.0056
59	-0.48	-0.0064
59.04	-0.56	-0.0056
59.08	-0.56	-0.0072
59.12	-0.48	-0.0064
59.16	-0.48	-0.0064
59.2	-0.48	-0.0056
59.24	-0.48	-0.0072
59.28	-0.48	-0.0056
59.32	-0.48	-0.0064
59.36	-0.48	-0.0064
59.4	-0.56	-0.008
59.44	-0.48	-0.008
59.48	-0.56	-0.0064
59.52	-0.4	-0.0072
59.56	-0.4	-0.0072
59.6	-0.48	-0.0072
59.64	-0.32	-0.0088
59.68	-0.4	-0.0088
59.72	-0.4	-0.008
59.76	-0.4	-0.0072
59.8	-0.32	-0.008
59.84	-0.4	-0.008
59.88	-0.4	-0.0088
59.92	-0.4	-0.0088
59.96	-0.32	-0.0096
60	-0.24	-0.0096
60.04	-0.32	-0.008
60.08	-0.4	-0.0096
60.12	-0.32	-0.008
60.16	-0.24	-0.0096
60.2	-0.16	-0.0088
60.24	-0.24	-0.0096
60.28	-0.24	-0.0088
60.32	-0.16	-0.0088
60.36	-0.24	-0.0088
60.4	-0.16	-0.0088
60.44	-0.24	-0.0088
60.48	-0.08	-0.0096
60.52	-0.08	-0.0088
60.56	-0.08	-0.0096
60.6	-0.08	-0.0088
60.64	-0.16	-0.0096
60.68	-0.08	-0.0104
60.72	-0.16	-0.0096
60.76	0	-0.0104
60.8	-0.08	-0.0096
60.84	0	-0.0096
60.88	-0.08	-0.0096
60.92	0.08	-0.0096
60.96	0.08	-0.0104
61	0.08	-0.0096
61.04	0.08	-0.0088
61.08	0.08	-0.0096
61.12	0.16	-0.0096
61.16	0.08	-0.0096
61.2	0.08	-0.0096
61.24	0.16	-0.0104
61.28	0.08	-0.0096
61.32	0.16	-0.0088
61.36	0.08	-0.008
61.4	0.16	-0.0096
61.44	0.24	-0.0096
61.48	0.16	-0.0096
61.52	0.16	-0.0096
61.56	0.4	-0.0096
61.6	0.32	-0.0104
61.64	0.24	-0.0096
61.68	0.24	-0.0088
61.72	0.32	-0.0096
61.76	0.24	-0.0088
61.8	0.32	-0.0104
61.84	0.32	-0.008
61.88	0.4	-0.008
61.92	0.32	-0.008
61.96	0.32	-0.0096
62	0.4	-0.0088
62.04	0.4	-0.0072
62.08	0.4	-0.0088
62.12	0.4	-0.008
62.16	0.4	-0.0088
62.2	0.48	-0.0072
62.24	0.48	-0.0088
62.28	0.48	-0.008
62.32	0.48	-0.008
62.36	0.56	-0.0088
62.4	0.4	-0.0072
62.44	0.56	-0.0088
62.48	0.48	-0.008
62.52	0.4	-0.008
62.56	0.56	-0.008
62.6	0.56	-0.0072
62.64	0.56	-0.0072
62.68	0.56	-0.0056
62.72	0.48	-0.0064
62.76	0.56	-0.0072
62.8	0.56	-0.0072
62.84	0.64	-0.008
62.88	0.64	-0.0072
62.92	0.64	-0.0064
62.96	0.64	-0.0056
63	0.72	-0.0064
63.04	0.72	-0.0064
63.08	0.64	-0.0064
63.12	0.8	-0.0064
63.16	0.72	-0.0056
63.2	0.8	-0.0064
63.24	0.64	-0.004
63.28	0.64	-0.0048
63.32	0.72	-0.004
63.36	0.64	-0.0056
63.4	0.72	-0.0056
63.44	0.64	-0.0048
63.48	0.8	-0.004
63.52	0.72	-0.0032
63.56	0.8	-0.004
63.6	0.8	-0.0048
63.64	0.72	-0.004
63.68	0.72	-0.004
63.72	0.8	-0.0032
63.76	0.8	-0.0032
63.8	0.8	-0.004
63.84	0.72	-0.0032
63.88	0.8	-0.0032
63.92	0.8	-0.0024
63.96	0.88	-0.0024
64	0.72	-0.0024
64.04	0.64	-0.0024
64.08	0.72	-0.0016
64.12	0.72	-0.0016
64.16	0.8	-0.0016
64.2	0.88	-0.0016
64.24	0.8	-0.0016
64.28	0.8	-8E-4
64.32	0.72	-0.0024
64.36	0.8	-0.0016
64.4	0.88	-0.0016
64.44	0.88	-8E-4
64.48	0.8	0
64.52	0.88	-8E-4
64.56	0.8	0
64.6	0.88	-8E-4
64.64	0.8	-0.0016
64.68	0.8	0
64.72	0.8	0
64.76	0.88	8E-4
64.8	0.8	8E-4
64.84	0.8	8E-4
64.88	0.88	8E-4
64.92	0.8	8E-4
64.96	0.72	8E-4
65	0.88	0.0016
65.04	0.8	0.0016
65.08	0.8	0.0016
65.12	0.72	0.0024
65.16	0.8	0.0032
65.2	0.72	0.0024
65.24	0.88	0.0024
65.28	0.8	0.0032
65.32	0.72	0.0032
65.36	0.8	0.0016
65.4	0.8	0.004
65.44	0.8	0.004
65.48	0.72	0.0016
65.52	0.8	0.0032
65.56	0.72	0.004
65.6	0.8	0.004
65.64	0.72	0.004
65.68	0.64	0.0032
65.72	0.64	0.0048
65.76	0.64	0.0032
65.8	0.72	0.0048
65.84	0.8	0.0056
65.88	0.72	0.0064
65.92	0.56	0.0048
65.96	0.72	0.0048
66	0.56	0.0048
66.04	0.64	0.0048
66.08	0.64	0.0056
66.12	0.64	0.0056
66.16	0.48	0.0064
66.2	0.64	0.0048
66.24	0.72	0.0056
66.28	0.56	0.0056
66.32	0.56	0.0056
66.36	0.64	0.0072
66.4	0.64	0.0064
66.44	0.48	0.0064
66.48	0.56	0.0056
66.52	0.48	0.0064
66.56	0.48	0.0056
66.6	0.48	0.0064
66.64	0.4	0.0072
66.68	0.48	0.0064
66.72	0.48	0.0064
66.76	0.48	0.0072
66.8	0.4	0.0072
66.84	0.48	0.0072
66.88	0.48	0.008
66.92	0.4	0.0072
66.96	0.4	0.0072
67	0.48	0.0064
67.04	0.4	0.008
67.08	0.32	0.008
67.12	0.32	0.0088
67.16	0.32	0.008
67.2	0.24	0.0088
67.24	0.32	0.0072
67.28	0.4	0.008
67.32	0.24	0.0072
67.36	0.24	0.0072
67.4	0.24	0.0088
67.44	0.32	0.0088
67.48	0.32	0.0088
67.52	0.24	0.008
67.56	0.24	0.008
67.6	0.24	0.0088
67.64	0.16	0.0072
67.68	0.24	0.0088
67.72	0.16	0.0088
67.76	0.08	0.008
67.8	0.08	0.008
67.84	0.08	0.0088
67.88	0.08	0.0088
67.92	0.08	0.0072
67.96	0.08	0.008
68	0.08	0.008
68.04	0.08	0.0088
68.08	0	0.008
68.12	0	0.0088
68.16	0	0.0088
68.2	0	0.0072
68.24	-0.08	0.0096
68.28	-0.16	0.008
68.32	0	0.008
68.36	-0.08	0.0072
68.4	-0.16	0.0072
68.44	-0.08	0.008
68.48	-0.08	0.0072
68.52	-0.16	0.0096
68.56	-0.24	0.008
68.6	-0.16	0.0072
68.64	-0.08	0.008
68.68	-0.16	0.0072
68.72	-0.16	0.0088
68.76	-0.16	0.0072
68.8	-0.24	0.0072
68.84	-0.24	0.0072
68.88	-0.16	0.0072
68.92	-0.24	0.0072
68.96	-0.16	0.0072
69	-0.24	0.008
69.04	-0.4	0.008
69.08	-0.32	0.0072
69.12	-0.32	0.0064
69.16	-0.4	0.0064
69.2	-0.32	0.0064
69.24	-0.32	0.0064
69.28	-0.32	0.0064
69.32	-0.4	0.0056
69.36	-0.32	0.0056
69.4	-0.4	0.0064
69.44	-0.4	0.0056
69.48	-0.4	0.0064
69.52	-0.4	0.0056
69.56	-0.48	0.0064
69.6	-0.48	0.0056
69.64	-0.48	0.0048
69.68	-0.56	0.0048
69.72	-0.56	0.0056
69.76	-0.4	0.0064
69.8	-0.32	0.0056
69.84	-0.56	0.0064
69.88	-0.4	0.004
69.92	-0.4	0.004
69.96	-0.48	0.0048
70	-0.56	0.004
70.04	-0.56	0.0048
70.08	-0.56	0.004
70.12	-0.64	0.0048
70.16	-0.56	0.0032
70.2	-0.48	0.0048
70.24	-0.56	0.004
70.28	-0.56	0.0032
70.32	-0.64	0.004
70.36	-0.56	0.004
70.4	-0.72	0.0032
70.44	-0.64	0.0032
70.48	-0.64	0.0024
70.52	-0.56	0.0024
70.56	-0.64	0.0024
70.6	-0.64	0.004
70.64	-0.56	0.0024
70.68	-0.64	0.0016
70.72	-0.64	0.0024
70.76	-0.64	8E-4
70.8	-0.64	0.0016
70.84	-0.64	0.0016
70.88	-0.64	0.0024
70.92	-0.72	8E-4
70.96	-0.64	8E-4
71	-0.64	8E-4
71.04	-0.64	0
71.08	-0.64	0.0016
71.12	-0.56	0
71.16	-0.72	8E-4
71.2	-0.72	0
71.24	-0.64	0
71.28	-0.8	0
71.32	-0.72	-8E-4
71.36	-0.72	0
71.4	-0.64	0
71.44	-0.64	0
71.48	-0.64	-0.0016
71.52	-0.64	-0.0016
71.56	-0.64	-0.0016
71.6	-0.64	-0.0024
71.64	-0.64	0
71.68	-0.72	-0.0016
71.72	-0.8	-0.0024
71.76	-0.72	-0.0024
71.8	-0.72	-0.0024
71.84	-0.64	-0.0024
71.88	-0.64	-0.0032
71.92	-0.64	-0.0024
71.96	-0.72	-0.0032
72	-0.72	-0.0032
72.04	-0.64	-0.004
72.08	-0.64	-0.004
72.12	-0.56	-0.0032
72.16	-0.56	-0.004
72.2	-0.56	-0.004
72.24	-0.64	-0.004
72.28	-0.56	-0.0048
72.32	-0.64	-0.0048
72.36	-0.64	-0.0056
72.4	-0.56	-0.0048
72.44	-0.56	-0.0048
72.48	-0.48	-0.004
72.52	-0.64	-0.0048
72.56	-0.56	-0.0056
72.6	-0.56	-0.0048
72.64	-0.56	-0.0048
72.68	-0.64	-0.0056
72.72	-0.56	-0.0048
72.76	-0.56	-0.0064
72.8	-0.56	-0.0064
72.84	-0.56	-0.0064
72.88	-0.56	-0.0064
72.92	-0.48	-0.0056
72.96	-0.56	-0.0064
73	-0.48	-0.0064
73.04	-0.48	-0.0064
73.08	-0.56	-0.0064
73.12	-0.48	-0.0072
73.16	-0.48	-0.0072
73.2	-0.4	-0.0072
73.24	-0.32	-0.0064
73.28	-0.4	-0.008
73.32	-0.4	-0.008
73.36	-0.4	-0.008
73.4	-0.4	-0.008
73.44	-0.32	-0.0072
73.48	-0.32	-0.008
73.52	-0.32	-0.0072
73.56	-0.32	-0.0072
73.6	-0.32	-0.0096
73.64	-0.4	-0.008
73.68	-0.32	-0.0088
73.72	-0.24	-0.008
73.76	-0.24	-0.0064
73.8	-0.32	-0.008
73.84	-0.16	-0.0088
73.88	-0.24	-0.0088
73.92	-0.32	-0.0072
73.96	-0.24	-0.0088
74	-0.32	-0.008
74.04	-0.24	-0.0096
74.08	-0.08	-0.008
74.12	-0.16	-0.0096
74.16	-0.08	-0.0088
74.2	-0.08	-0.0096
74.24	-0.08	-0.0088
74.28	-0.16	-0.0088
74.32	0	-0.0088
74.36	-0.16	-0.0096
74.4	-0.08	-0.0088
74.44	-0.08	-0.0088
74.48	-0.08	-0.0096
74.52	0	-0.0088
74.56	0.08	-0.0088
74.6	-0.08	-0.0104
74.64	0.08	-0.0096
74.68	0	-0.0088
74.72	0	-0.0096
74.76	0.08	-0.0088
74.8	0.08	-0.0088
74.84	0.08	-0.0088
74.88	0.08	-0.0096
74.92	0.08	-0.0096
74.96	0.16	-0.0088
75	0.16	-0.0096
75.04	0.24	-0.0088
75.08	0.16	-0.0096
75.12	0.24	-0.008
75.16	0.16	-0.0088
