Decimated X1	Decimated Y1
	Dezimation von "Ampl"
2.449998829E-5	0.0028634766
2.459998829E-5	0.0031574707
2.469998829E-5	0.0028964355
2.479998829E-5	0.0030414551
2.489998829E-5	0.0028423828
2.499998829E-5	0.002769873
2.509998829E-5	0.0028318359
2.519998829E-5	0.0026037598
2.529998829E-5	0.0022478027
2.539998829E-5	0.0023875488
2.549998829E-5	0.0021317871
2.559998829E-5	0.0015780762
2.569998829E-5	0.0014581055
2.579998829E-5	0.0012643066
2.589998829E-5	9.5053711E-4
2.599998829E-5	6.3017578E-4
2.609998829E-5	2.9267578E-4
2.619998829E-5	-3.1245117E-4
2.629998829E-5	-3.9023438E-4
2.639998829E-5	-7.3828125E-4
2.649998829E-5	-0.0012102539
2.659998829E-5	-0.0014607422
2.669998829E-5	-0.0016875
2.679998829E-5	-0.0017547363
2.689998829E-5	-0.0020342285
2.699998829E-5	-0.0018826172
2.709998829E-5	-0.0019749023
2.719998829E-5	-0.0018681152
2.729998829E-5	-0.0019946777
2.739998829E-5	-0.002076416
2.749998829E-5	-0.0018021973
2.759998829E-5	-0.0017929688
2.769998829E-5	-0.0018918457
2.779998829E-5	-0.0016505859
2.789998829E-5	-0.0012155273
2.799998829E-5	-0.0012445312
2.809998829E-5	-9.1098633E-4
2.819998829E-5	-5.6293945E-4
2.829998829E-5	-4.2451172E-4
2.839998829E-5	-4.3110352E-4
2.849998829E-5	9.2285156E-6
2.859998829E-5	2.7158203E-4
2.869998829E-5	4.574707E-4
2.879998829E-5	5.5766602E-4
2.889998829E-5	7.5541992E-4
2.899998829E-5	0.0010111816
2.909998829E-5	0.0011891602
2.919998829E-5	0.0013763672
2.929998829E-5	0.001551709
2.939998829E-5	0.0020605957
2.949998829E-5	0.0020698242
2.959998829E-5	0.0022372559
2.969998829E-5	0.0020474121
2.979998829E-5	0.0020460938
2.989998829E-5	0.0022398926
2.999998829E-5	0.0020408203
3.009998829E-5	0.0018905273
3.019998829E-5	0.0019195313
3.029998829E-5	0.0017099121
3.039998829E-5	0.0016149902
3.049998829E-5	0.0013790039
3.059998829E-5	0.001195752
3.069998829E-5	0.0011852051
3.079998829E-5	0.0010322754
3.089998829E-5	4.6669922E-4
3.099998829E-5	4.1264648E-4
3.109998829E-5	1.5029297E-4
3.119998829E-5	-1.7006836E-4
3.129998829E-5	-5.1416016E-4
3.139998829E-5	-5.3525391E-4
3.149998829E-5	-7.0004883E-4
3.159998829E-5	-8.8330078E-4
3.169998829E-5	-0.0011548828
3.179998829E-5	-0.001368457
3.189998829E-5	-0.0013012207
3.199998829E-5	-0.0016334473
3.209998829E-5	-0.0013262695
3.219998829E-5	-0.0014317383
3.229998829E-5	-0.0015029297
3.239998829E-5	-0.0014567871
3.249998829E-5	-0.0013948242
3.259998829E-5	-0.0012405762
3.269998829E-5	-0.0012682617
3.279998829E-5	-0.0010428223
3.289998829E-5	-0.0010520508
3.299998829E-5	-7.3037109E-4
3.309998829E-5	-8.1606445E-4
3.319998829E-5	-4.9438477E-4
3.329998829E-5	-2.2280273E-4
3.339998829E-5	-1.6611328E-4
3.349998829E-5	3.9550781E-6
3.359998829E-5	2.6894531E-4
3.369998829E-5	5.6689453E-4
3.379998829E-5	4.9833984E-4
3.389998829E-5	6.1831055E-4
3.399998829E-5	8.4638672E-4
3.409998829E-5	0.0012708984
3.419998829E-5	0.0010929199
3.429998829E-5	0.0012880371
3.439998829E-5	0.0016334473
3.449998829E-5	0.0014752441
3.459998829E-5	0.0015121582
3.469998829E-5	0.0016980469
3.479998829E-5	0.0015477539
3.489998829E-5	0.0016848633
3.499998829E-5	0.0015385254
3.509998829E-5	0.0016584961
3.519998829E-5	0.0014317383
3.529998829E-5	0.0010019531
3.539998829E-5	0.0011944336
3.549998829E-5	0.0010415039
3.559998829E-5	8.9384766E-4
3.569998829E-5	7.3037109E-4
3.579998829E-5	5.7744141E-4
3.589998829E-5	2.0302734E-4
3.599998829E-5	1.8325195E-4
3.609998829E-5	-3.2827148E-4
3.619998829E-5	-7.1191406E-5
3.629998829E-5	-5.128418E-4
3.639998829E-5	-2.9663086E-4
3.649998829E-5	-5.7612305E-4
3.659998829E-5	-0.0010942383
3.669998829E-5	-0.00118125
3.679998829E-5	-0.0010731445
3.689998829E-5	-0.0011047852
3.699998829E-5	-0.0010718262
3.709998829E-5	-0.001063916
3.719998829E-5	-0.0010691895
3.729998829E-5	-0.0011166504
3.739998829E-5	-0.0011575195
3.749998829E-5	-9.7426758E-4
3.759998829E-5	-9.4790039E-4
3.769998829E-5	-9.637207E-4
3.779998829E-5	-6.8291016E-4
3.789998829E-5	-7.0004883E-4
3.799998829E-5	-5.8535156E-4
3.809998829E-5	-5.6821289E-4
3.819998829E-5	-2.53125E-4
3.829998829E-5	-7.6464844E-5
3.839998829E-5	1.0019531E-4
3.849998829E-5	2.4389648E-4
3.859998829E-5	2.4916992E-4
3.869998829E-5	4.3901367E-4
3.879998829E-5	4.2319336E-4
3.889998829E-5	8.2001953E-4
3.899998829E-5	7.1323242E-4
3.909998829E-5	9.9008789E-4
3.919998829E-5	0.001027002
3.929998829E-5	9.9140625E-4
3.939998829E-5	0.001368457
3.949998829E-5	0.001214209
3.959998829E-5	0.0015477539
3.969998829E-5	0.0013381348
3.979998829E-5	0.0013882324
3.989998829E-5	0.00135
3.999998829E-5	0.0011034668
4.009998829E-5	0.0012208008
4.019998829E-5	8.8066406E-4
